[e95d111e:2018-01-20T04:47:35.447233]: Works
[eab4c6d7:2018-01-20T04:47:35.920262]: Works
[f636bce3:2018-01-20T04:47:36.157489]: Works
[20195c24:2018-01-20T14:51:52.868887]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[f10294f5:2018-01-20T14:52:22.238008]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[dbb8009d:2018-01-20T14:52:47.653838]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[23e7c2b7:2018-01-20T14:52:59.962458]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[16a14661:2018-01-20T14:53:25.956283]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[6f2d6a77:2018-01-20T14:53:40.161365]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[29013ffb:2018-01-20T14:53:58.118224]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[9a9bacd0:2018-01-20T14:54:17.728975]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[82fd06a9:2018-01-20T14:54:18.204298]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
[707c5cf8:2018-01-20T14:54:41.100837]: {u'password': u'', u'login': u'422QQNhnhX8hmMEkF3TWePWSvKm6DiV7sS3Za2dXrynsJ1w8U6AzwjEdnewdhmP3CDaqvaS6BjEjGMK9mnumtufvLmz5HJi', u'identifier': u'handshake', u'userid': u'', u'pool': u'moneroocean.stream'}
